Rank, Word, Likelihood 
1, sales, 6.550280067878038e-05
2, bones, 4.544477359856698e-05
3, tones, 4.376077355466403e-05
4, tales, 3.892667028746068e-05
5, fares, 3.603738476644766e-05
6, lanes, 3.256076394719118e-05
7, seats, 3.188456912898899e-05
8, shoes, 3.151540924239342e-05
9, tries, 3.11797064500171e-05
10, sites, 3.0935901539380436e-05
11, tires, 3.0730125325018266e-05
12, sorts, 2.899587352816823e-05
13, males, 2.8446015561709922e-05
14, boats, 2.6153841206076562e-05
15, saves, 2.5242634557971852e-05
16, tiles, 2.5216971206198645e-05
17, trees, 2.5038298509417813e-05
18, fires, 2.3345271693966242e-05
19, coins, 2.3289968220549092e-05
20, mines, 2.226560455376737e-05
21, beans, 2.188867609729763e-05
22, lines, 2.109309223842462e-05
23, cases, 2.0958296470410306e-05
24, wales, 2.0589398588882466e-05
25, roles, 2.054531656605097e-05
26, bases, 2.0209416976026497e-05
27, beats, 1.967736282654899e-05
28, loans, 1.9394075274490072e-05
29, files, 1.9157001082203727e-05
30, boots, 1.911883573921729e-05
31, dates, 1.9100417190666894e-05
32, sides, 1.856032105369374e-05
33, miles, 1.8427529250601906e-05
34, bears, 1.8272430710922972e-05
35, tears, 1.7595328116217166e-05
36, trans, 1.7542059227670764e-05
37, tools, 1.7285161062676178e-05
38, carey, 1.7078733648285126e-05
39, codes, 1.706077304235498e-05
40, sells, 1.6807655634397905e-05
41, tunes, 1.676833149299114e-05
42, wires, 1.6254017986401648e-05
43, wines, 1.611597961709038e-05
44, rates, 1.609903065656565e-05
45, comes, 1.5844148740616225e-05
46, means, 1.540262449115999e-05
47, calls, 1.536717067441836e-05
48, souls, 1.5358687639514558e-05
49, holes, 1.497525296369937e-05
50, fails, 1.4903570915454292e-05
51, genes, 1.4880590147854563e-05
52, balls, 1.4818072658698634e-05
53, pairs, 1.474038497322718e-05
54, mails, 1.4336063760944415e-05
55, tions, 1.425904382539001e-05
56, parts, 1.4069797076453975e-05
57, paris, 1.4069797076453975e-05
58, pants, 1.395030835393632e-05
59, slots, 1.3898544355027136e-05
60, cents, 1.3843698014150635e-05
61, sends, 1.3686124525372053e-05
62, fears, 1.336693915410606e-05
63, moses, 1.3231204109088022e-05
64, pools, 1.3131309326409388e-05
65, ports, 1.3090558784698613e-05
66, teens, 1.306567794484845e-05
67, meals, 1.3000290857395066e-05
68, fonts, 1.2979386310943213e-05
69, pages, 1.2934862213293257e-05
70, gates, 1.282650255351172e-05
71, cards, 1.2620346737921638e-05
72, saint, 1.2613631523346395e-05
73, suits, 1.2535239022664459e-05
74, seeds, 1.2505724777466421e-05
75, beads, 1.2450414192322856e-05
76, shots, 1.2304317188818763e-05
77, spies, 1.2135988517437343e-05
78, bands, 1.2066048474833913e-05
79, toner, 1.2040332053438978e-05
80, deals, 1.197339299595202e-05
81, bored, 1.1933350734316084e-05
82, faces, 1.1706411612030768e-05
83, brass, 1.1697327727123187e-05
84, blues, 1.160083248928985e-05
85, modes, 1.157635253132687e-05
86, doors, 1.1506156411602958e-05
87, babes, 1.1371428701001686e-05
88, bonds, 1.1226268296589041e-05
89, belts, 1.104797136504732e-05
90, loads, 1.1031469832672982e-05
91, falls, 1.0839952206880869e-05
92, cells, 1.0757111673272877e-05
93, money, 1.0690426416504845e-05
94, goals, 1.0686887191986682e-05
95, tapes, 1.0541590746237733e-05
96, gains, 1.0505123193306452e-05
97, roots, 1.0443780064548165e-05
98, three, 1.0372602708085412e-05
99, roses, 1.0271181689913074e-05
100, times, 1.0243375108339423e-05
101, moves, 1.0199211678109543e-05
102, polls, 1.0085506622193654e-05
103, maine, 1.005050519277071e-05
104, thats, 1.0002739207933673e-05
105, tells, 9.988367862220847e-06
106, songs, 9.975929265182541e-06
107, lions, 9.871209081350809e-06
108, penis, 9.765299547931543e-06
109, wants, 9.712826043456799e-06
110, jones, 9.680096804090359e-06
111, loves, 9.662118635318229e-06
112, bills, 9.599251844721254e-06
113, plans, 9.54812173955722e-06
114, since, 9.307616497991135e-06
115, share, 9.248627725379489e-06
116, sense, 9.14196645044806e-06
117, roads, 9.039588563288671e-06
118, tours, 9.027343805731538e-06
119, wages, 9.005827210862347e-06
120, sorry, 9.001222113780761e-06
121, dolls, 8.935142286072703e-06
122, cross, 8.867777994583704e-06
123, foods, 8.84940345036109e-06
124, races, 8.741468933001142e-06
125, class, 8.69143779132919e-06
126, sheet, 8.61863584182346e-06
127, meets, 8.58328502957309e-06
128, shine, 8.552224386673263e-06
129, seeks, 8.469824281733879e-06
130, feels, 8.377701680434466e-06
131, leads, 8.299745826903698e-06
132, cakes, 8.297749925173948e-06
133, peers, 8.28597043359605e-06
134, books, 8.193017484078048e-06
135, sauce, 8.175302099504636e-06
136, banks, 8.172042178704562e-06
137, tried, 8.117951579298535e-06
138, signs, 8.060698042837414e-06
139, lands, 8.043518386558718e-06
140, sally, 8.026777607529726e-06
141, marie, 8.008362604219434e-06
142, tired, 8.000898591337993e-06
143, waves, 7.934480036911584e-06
144, basis, 7.89020617697186e-06
145, birds, 7.883421696271454e-06
146, rules, 7.872591154670461e-06
147, tanks, 7.869219251050036e-06
148, diane, 7.768176941455005e-06
149, takes, 7.704761389368023e-06
150, burns, 7.627461067793707e-06
151, costs, 7.613088845128533e-06
152, walls, 7.547257553996008e-06
153, rolls, 7.531098831419717e-06
154, seems, 7.4622408476268585e-06
155, suite, 7.417352678539828e-06
156, moore, 7.392348192620818e-06
157, monte, 7.3877136531149075e-06
158, chris, 7.370673096444064e-06
159, chaos, 7.365289403021866e-06
160, sheer, 7.35295441676773e-06
161, turns, 7.344818119971041e-06
162, sluts, 7.33900835174374e-06
163, trace, 7.33261643368898e-06
164, buses, 7.204917241948129e-06
165, teams, 7.153939138546894e-06
166, games, 7.146627802883304e-06
167, pills, 7.022197394713671e-06
168, casey, 7.0063500387751425e-06
169, saver, 6.94525432924396e-06
170, stats, 6.930596323914979e-06
171, notes, 6.856852154773022e-06
172, reads, 6.8011143204932555e-06
173, breed, 6.769836828065341e-06
174, shore, 6.760880472640417e-06
175, mills, 6.754801930600556e-06
176, louis, 6.729929265571053e-06
177, lives, 6.727406648966976e-06
178, peace, 6.693195910024431e-06
179, panel, 6.659598387898973e-06
180, areas, 6.6584555924470315e-06
181, saved, 6.572174930640856e-06
182, sandy, 6.536038116422006e-06
183, talks, 6.512747838395802e-06
184, stars, 6.435762872820078e-06
185, booty, 6.391419059842043e-06
186, board, 6.323235360569694e-06
187, leone, 6.311647806026259e-06
188, shade, 6.301802300596003e-06
189, plots, 6.2746760060350416e-06
190, rides, 6.257028034424787e-06
191, coast, 6.247806073109417e-06
192, solid, 6.194970211736763e-06
193, carry, 6.191839106927211e-06
194, woods, 6.161348847709921e-06
195, belle, 6.137758439307364e-06
196, force, 6.086802092924351e-06
197, homes, 6.083091113326782e-06
198, fired, 6.078177340155257e-06
199, honey, 6.048913875763409e-06
200, salad, 6.047024598329442e-06
201, parks, 6.029346923482529e-06
202, bonus, 5.974183729611483e-06
203, barry, 5.970593007739324e-06
204, solar, 5.945537547121848e-06
205, alias, 5.940780280784269e-06
206, lance, 5.910988970074854e-06
207, trade, 5.9042017269829e-06
208, watts, 5.8605107890093835e-06
209, clone, 5.854998175792436e-06
210, votes, 5.8407626683733405e-06
211, marks, 5.799757817924592e-06
212, words, 5.766826620764485e-06
213, dance, 5.746700413306432e-06
214, finds, 5.71802933593584e-06
215, paint, 5.6945856376593406e-06
216, taxes, 5.6736587137394175e-06
217, plane, 5.649815390985292e-06
218, feeds, 5.645869754041106e-06
219, makes, 5.630323908074537e-06
220, lease, 5.544009025793752e-06
221, minds, 5.500294769082736e-06
222, slide, 5.494841771462371e-06
223, lined, 5.491799665391491e-06
224, boxes, 5.481917728877816e-06
225, dried, 5.463674417489673e-06
226, looks, 5.461662690318831e-06
227, later, 5.405525481236738e-06
228, loose, 5.386646515349039e-06
229, posts, 5.370248107240125e-06
230, fotos, 5.354436093387332e-06
231, lakes, 5.333829640171574e-06
232, tests, 5.318524454534799e-06
233, farms, 5.312086461339685e-06
234, press, 5.304368818379841e-06
235, corps, 5.30258045877122e-06
236, point, 5.2982504039829245e-06
237, whats, 5.290726974896978e-06
238, wells, 5.2831255704368755e-06
239, sarah, 5.275182742247866e-06
240, goods, 5.264815397717007e-06
241, based, 5.261725883155226e-06
242, silly, 5.199803073648433e-06
243, bless, 5.195182871346982e-06
244, pipes, 5.187838154214721e-06
245, bikes, 5.1832697744978e-06
246, cited, 5.154965310648877e-06
247, leeds, 5.144891267568986e-06
248, wives, 5.140012057270916e-06
249, nails, 5.094548171448742e-06
250, girls, 5.091123061731666e-06
251, grass, 5.090863562302783e-06
252, plate, 5.079040269829923e-06
253, raise, 5.009750138208905e-06
254, filed, 4.987718772760101e-06
255, dated, 4.97298658493785e-06
256, meant, 4.96735111483578e-06
257, heads, 4.95725666027064e-06
258, forms, 4.9423726379069115e-06
259, fairy, 4.9277047385287284e-06
260, hints, 4.918712415175509e-06
261, terms, 4.894770076394202e-06
262, false, 4.8796926305627736e-06
263, craps, 4.8527917514958164e-06
264, hands, 4.804217614053472e-06
265, joins, 4.783683714102432e-06
266, chess, 4.769701876610166e-06
